# inclusion_criteria: ALL = record met all four inclusion criteria (I1, I2, I3, I4)
# exclusion_reason: E1-E4 as defined in screening_criteria.md
title,decision,inclusion_criteria,exclusion_reason
3rd Latin American Workshop on Computational Neuroscience LAWCN 2021,exclude,,E2
A 0.12 μVrms input noise 4.14 GΩ input impedance chopper and auto-zero instrumentation amplifier for EEG recording front ends,exclude,,E1
A Chopper Instrumentation Amplifier for High-Precision EEG Acquisition,exclude,,E2
A fully differential chopper-stabilized LNA for EEG acquisition applications,exclude,,E1
A Low-Noise High-Gain EEG Analog Front-End for Microvolt Biopotentials,exclude,,E2
A pilot safety and tolerability study of scanning ultrasound as a neuromodulation therapy in Alzheimer's disease,exclude,,E1
A Precision Computational Framework for sLORETA Neurofeedback in Mild Cognitive Impairment: Integration of qEEG Biomarkers and Neuropsychological Metrics,exclude,,E1
A Preoperative Electroencephalography Signature for Predicting Treatment Response to Deep Brain Stimulation in Obsessive-Compulsive Disorder,exclude,,E2
A Simple Method for Synchronising Rich Kinematic Video Data with Local Field Potentials from DBS Systems,exclude,,E2
A Systematic Review of Aperiodic Neural Activity in Clinical Investigations,exclude,,E2
Advances in local field potential research in prolonged disorders of consciousness: a narrative review,exclude,,E2
Anterior nucleus of thalamus deep brain stimulation for medication refractory epilepsy modulates theta and low-frequency gamma activity: a case study,exclude,,E3
Aperiodic (1/f) Neural Activity Robustly Tracks Symptom Severity Changes in Treatment-Resistant Depression,include,ALL,
Aperiodic components of local field potentials reflect inherent differences between cortical and subcortical activity,include,ALL,
Aperiodic EEG and 7T MRSI evidence for maturation of E/I balance supporting the development of working memory through adolescence,exclude,,E1
Aperiodic Neural Activity as an Index of Depression Severity,exclude,,E2
Aperiodic neural activity is a biomarker for depression severity,exclude,,E1
Aperiodic neural activity is a biomarker for depression severity. medRxiv [Preprint],exclude,,E2
Aperiodic spectral component as a potential new marker and input signal for aDBS,exclude,,E2
Aperiodic subthalamic activity predicts motor severity and stimulation response in Parkinson disease,include,ALL,
Aperiodic subthalamic activity underlies sleep-wake modulation of beta power during conventional and adaptive deep brain stimulation in Parkinson's disease,exclude,,E2
Beta Oscillations in the Sensory Thalamus During Severe Facial Neuropathic Pain Using Novel Sensing Deep Brain Stimulation,exclude,,E3
Beta-Band and Aperiodic Activity Across New and Chronic Subthalamic Nucleus Deep Brain Stimulation in Parkinson's Disease,include,ALL,
Beyond beta rhythms: Aperiodic broadband power reflects Parkinson's disease severity–a multicenter study,exclude,,E2
Beyond beta rhythms: subthalamic aperiodic broadband power scales with Parkinson's disease severity-a cross-sectional multicentre study,include,ALL,
